id,latitude,longitude,open,accessible
wp200,39.25573637,-76.71644869,TRUE,TRUE
wp201,39.25606609,-76.7163561,TRUE,TRUE
wp202,39.25625662,-76.71627832,TRUE,TRUE
wp203,39.2561509,-76.71602464,TRUE,TRUE
wp204,39.25607944,-76.7156576,TRUE,TRUE
wp205,39.25604053,-76.71553416,TRUE,TRUE
wp206,39.25584997,-76.71563281,TRUE,TRUE
wp207,39.25605814,-76.71619531,TRUE,TRUE
wp208,39.25598235,-76.71607453,TRUE,TRUE
wp209,39.25576441,-76.71531336,TRUE,TRUE
wp210,39.25567805,-76.71536603,TRUE,TRUE
wp211,39.25573369,-76.71519356,TRUE,TRUE
wp212,39.25561448,-76.71524313,TRUE,TRUE
wp213,39.25551429,-76.71509434,TRUE,FALSE
wp214,39.25545945,-76.71500684,TRUE,FALSE
wp215,39.25537666,-76.71486084,TRUE,TRUE
wp216,39.25531224,-76.71474584,TRUE,TRUE
wp217,39.25557479,-76.71463885,TRUE,TRUE
wp218,39.25561332,-76.71478121,TRUE,TRUE
wp219,39.25525898,-76.71451721,TRUE,TRUE
wp220,39.25541456,-76.71409002,TRUE,TRUE
wp221,39.25519493,-76.71456547,TRUE,TRUE
wp222,39.25506918,-76.71459466,TRUE,TRUE
wp223,39.25465192,-76.71461777,TRUE,TRUE
wp224,39.25465675,-76.71453926,TRUE,FALSE
wp225,39.25473298,-76.7144215,TRUE,TRUE
wp226,39.25459726,-76.71448701,TRUE,TRUE
wp227,39.25433689,-76.71467482,TRUE,TRUE
wp228,39.25429853,-76.71447053,TRUE,TRUE
wp229,39.25423232,-76.71447458,TRUE,TRUE
wp230,39.25336938,-76.7141271,TRUE,TRUE
wp231,39.25328465,-76.71409101,TRUE,TRUE
wp232,39.25541527,-76.7149284,TRUE,FALSE
wp233,39.25469611,-76.71432772,TRUE,FALSE
wp234,39.2545818,-76.71438628,TRUE,FALSE
wp235,39.25468364,-76.71428628,TRUE,TRUE
wp236,39.25457033,-76.71434674,TRUE,TRUE
wp237,39.25495577,-76.71416167,TRUE,TRUE
wp238,39.25506823,-76.71433326,TRUE,TRUE
wp239,39.25500618,-76.71437585,TRUE,TRUE
wp240,39.25500086,-76.71428768,TRUE,TRUE
wp241,39.25508856,-76.71410009,TRUE,TRUE
wp242,39.25695042,-76.71562652,TRUE,TRUE
wp243,39.25585805,-76.71489257,TRUE,TRUE
wp244,39.25591052,-76.71486941,TRUE,FALSE
wp245,39.25574715,-76.71449813,TRUE,TRUE
wp246,39.25588022,-76.71432895,TRUE,TRUE
wp247,39.25594297,-76.71417508,TRUE,TRUE
wp248,39.2559427,-76.7139984,TRUE,TRUE
wp249,39.2558687,-76.71373198,TRUE,TRUE
wp250,39.25575809,-76.71376811,TRUE,TRUE
wp251,39.25606979,-76.71437471,TRUE,TRUE
wp252,39.25619081,-76.71474078,TRUE,TRUE
wp253,39.25637076,-76.71538607,TRUE,TRUE
wp254,39.25653227,-76.71458419,TRUE,TRUE
wp255,39.25671394,-76.71522132,TRUE,TRUE
wp256,39.25665218,-76.71451885,TRUE,TRUE
wp257,39.25666812,-76.7142143,TRUE,TRUE
